Code.Pays,Nom.Pays,Surface_forestiere_km2,nbr_touristes,Depense_tourisme,CO2.en.t,PIB_en_M,Superficie,Population,industrie_en_pourcentage,pourcentage_tourisme,pourcentage_foret,emissions_par_hab,PIB_par_habitant
KOR,Coree,63370,13232000,27957000000,607830017.1,1465773.25,100295,51014947,34.15,1.9073209311194619,63.183608355351716,11.914743675025283,28732.231163545068
KWT,Koweit,62.5,6941000,13148000000,89019996.64,114585.57,17820,3908743,55.94,11.474394201643365,0.3507295173961841,22.7745842179954,29315.1967269273
LAO,Republique democratique populaire lao,167680,4684000,1002000000,8880000.114,14426.38,236800,6787419,27.69,6.945609362847784,70.8108108108108,1.3083029225100145,2125.4588820875797
LBN,Liban,1403.3,1518000,5187000000,27010000.23,49929.34,10450,6398940,15.71,10.388681284391103,13.428708133971293,4.221011640990539,7802.751705751265
LCA,Sainte-Lucie,207.7,1031000,76000000,500000,1807.22,620,175623,10.86,4.205354079746793,33.5,2.8470075104058123,10290.337825911185
LKA,Sri Lanka,21288.2,1993000,2152000000,20360000.61,85140.96,65610,21336697,29.54,2.5275730976019064,32.44657826550831,0.9542245742159623,3990.3533335079933
LSO,Lesotho,345.2,1082000,180000000,649999.9762,2359.75,30360,2118521,33.74,7.6279266871490625,1.137022397891963,0.306817811199417,1113.8667022890027
LUX,Luxembourg,887,1090000,2333000000,9130000.114,60071.58,2590,569604,11.54,3.883700079138921,34.24710424710425,16.028679774018443,105462.00518254787
MAR,Maroc,56846.9,10542000,2155000000,60409999.85,110413.82,446550,34680458,25.62,1.9517484314916376,12.730242973911096,1.7419031735394037,3183.747458006466
MDA,Moldova,3864,94400,370000000,8020000.458,7798.69,33850,2835978,21.11,4.744386557229483,11.41506646971935,2.8279487563020584,2749.912023294962
MDG,Madagascar,124958.9,282000,240000000,3279999.971,11323.02,587295,24850912,18.95,2.119575872867839,21.277024323380925,0.13198710658989093,455.63800636371013
MDV,Maldives,8.2,1234000,309000000,1370000.005,4109.42,300,435582,10.68,7.5193092942556365,2.733333333333333,3.145217215128265,9434.320059139265
MEX,Mexique,663309.1,87129000,12668000000,471630004.9,1171870.07,1964375,120149897,29.99,1.0810072143919505,33.766928412344896,3.9253467266809223,9753.400537663383
MHL,iles Marshall,94,6300,26200000,150000.006,183,180,49410,11.35,14.316939890710382,52.22222222222223,3.0358228293867637,3703.703703703704
MKD,Macedoine du Nord,9944,486000,189000000,7409999.847,10064.52,25710,2070226,23.92,1.8778838931215796,38.677557370672886,3.579319285430673,4861.556177924535
MLI,Mali,132960,159000,207000000,3650000.095,13104.76,1240190,18112907,17.6,1.579578717962023,10.720937920802458,0.2015137655705956,723.5039632235731
MMR,Myanmar,299924.4,4681000,146000000,19040000.92,63045.31,676590,51483949,34.48,0.2315794783148818,44.328825433423496,0.36982401874417214,1224.5624359545534
MNE,Montenegro,8270,1560000,69000000,2359999.895,4054.73,13810,622159,14.35,1.7017162671743864,59.88414192614048,3.7932423946290257,6517.192550457359
MNG,Mongolie,141783.3,467000,473000000,17299999.24,11619.89,1564120,2964749,31.52,4.070606520371536,9.064732884944888,5.835232338386824,3919.3503396071637
MOZ,Mozambique,379400,1634000,322000000,5519999.981,15950.98,799380,26843246,18.1,2.0186847453886845,47.46178288173334,0.2056383188903458,594.2269425985218
MUS,Maurice,383,1174000,616000000,3960000.038,12007.29,2007,1262879,19.19,5.13021672667188,19.083208769307426,3.1356923648267174,9507.870508576041
MWI,Malawi,24517,805000,121000000,930000.0072,9219.47,118480,16938942,17.56,1.3124398691031045,20.692943956785957,0.05490307524519536,544.2766142064834
MYS,Malaisie,194642.2,25721000,11599000000,236539993.3,301354.78,330345,31068833,38.45,3.84895172394478,58.920885740665064,7.613417385197571,9699.58478968296
NAM,Namibie,69939.5,1488000,71000000,4199999.809,11335.16,824290,2282704,27.56,0.6263696321886943,8.48481723665215,1.8399230951538177,4965.672290406465
NER,Niger,11418,135000,140000000,2109999.895,9683.87,1267000,20128124,22.54,1.4457030092308139,0.9011838989739541,0.10482844277986364,481.11140412290786
NGA,Nigeria,224434.5,6017000,9017000000,107760002.1,493026.78,923770,183995785,20.16,1.8289067380883448,24.295495632029617,0.5856656015245132,2679.5547517569494
NIC,Nicaragua,39075.3,1456000,273000000,5269999.981,12756.72,130370,6298598,25.73,2.1400485391229096,29.972616399478408,0.8366941311383898,2025.3269060829093
NLD,Pays-Bas,3648.3,15007000,20234000000,157410003.7,765572.77,41540,16939923,18.19,2.6429884647020554,8.782619162253251,9.292250248126866,45193.403181348585
NOR,Norvege,121410,5361000,16485000000,39490001.68,388159.51,625184.78,5188607,31.6,4.246965377712889,19.419858557657143,7.610906295273471,74809.96537220877
NPL,Nepal,59620.3,539000,669000000,7190000.057,24360.8,147180,27610325,13.16,2.7462152310268957,40.50842505775241,0.260409830634011,882.3076149954773
NZL,Nouvelle-Zelande,98466.1,3129000,3721000000,32279998.78,178064.47,267710,4609400,21.16,2.0896925703370246,36.78088229800905,7.0030803965809,38630.72634182323
OMN,Oman,30,2634000,2208000000,70129997.25,78710.79,309500,4191776,53.1,2.805206249359205,0.009693053311793215,16.73037806648065,18777.432286458054
PAN,Panama,42709.1,2553000,1272000000,10699999.81,54091.8,75320,3957099,27.56,2.3515579071134627,56.70353159851301,2.7040010396505116,13669.559442409705
PER,Perou,731945.3,4381000,2539000000,54549999.24,189802.96,1285220,30711863,30.34,1.3377030579502025,56.95097337420832,1.776186590829739,6180.118737831045
PHL,Philippines,70141.5,5361000,11868000000,111010002.1,306445.87,300000,103031365,30.48,3.872788365527654,23.3805,1.077438914839185,2974.296904636758
PLW,Palaos,409.9,162000,21899999,209999.9934,280.46,460,17794,6.97,7.808599800328032,89.1086956521739,11.80173054962347,15761.492637967855
PNG,Papouasie-Nouvelle-Guinee,360244.209,199000,135000000,6510000.229,21723.44,462840,8682174,34.8,0.6214485366958457,77.83342170080373,0.7498122277899522,2502.0737893527585
POL,Pologne,94200,77743000,8285000000,289079986.6,477111.29,312680,37986412,31.12,1.736492129540678,30.12664705129845,7.610089276133793,12560.051473142554
